id;#;IDHM (2010)
1;1;0,862
2;2;0,854
3;3;0,847
4;4;0,845
5;5;0,845
6;6;0,84
7;7;0,837
8;8;0,827
9;9;0,824
10;10;0,823
11;11;0,822
12;12;0,819
13;13;0,817
14;14;0,815
15;15;0,815
16;16;0,814
17;17;0,813
18;18;0,812
19;19;0,811
20;20;0,81
21;21;0,809
22;21;0,809
23;23;0,808
24;24;0,807
25;25;0,806
26;25;0,806
27;25;0,806
28;28;0,805
29;28;0,805
30;28;0,805
31;28;0,805
32;28;0,805
33;28;0,805
34;34;0,803
35;34;0,803
36;36;0,802
37;37;0,801
38;37;0,801
39;37;0,801
40;40;0,8
41;40;0,8
42;40;0,8
43;40;0,8
44;40;0,8
45;45;0,799
46;45;0,799
47;47;0,798
48;47;0,798
49;47;0,798
50;50;0,797
51;50;0,797
52;50;0,797
53;53;0,796
54;53;0,796
55;53;0,796
56;56;0,795
57;56;0,795
58;56;0,795
59;56;0,795
60;56;0,795
61;61;0,793
62;62;0,791
63;62;0,791
64;62;0,791
65;62;0,791
66;62;0,791
67;67;0,79
68;67;0,79
69;67;0,79
70;67;0,79
71;71;0,789
72;71;0,789
73;71;0,789
74;71;0,789
75;71;0,789
76;76;0,788
77;76;0,788
78;76;0,788
79;76;0,788
80;76;0,788
81;76;0,788
82;76;0,788
83;76;0,788
84;76;0,788
85;85;0,787
86;85;0,787
87;87;0,786
88;87;0,786
89;87;0,786
90;87;0,786
91;87;0,786
92;92;0,785
93;92;0,785
94;92;0,785
95;92;0,785
96;92;0,785
97;92;0,785
98;92;0,785
99;92;0,785
100;100;0,784
101;100;0,784
102;100;0,784
103;100;0,784
104;100;0,784
105;100;0,784
106;100;0,784
107;100;0,784
108;100;0,784
109;100;0,784
